iter	MultiClass
0	2.936399807
1	2.731227025
2	2.556708254
3	2.428237227
4	2.320733062
5	2.217463777
6	2.122383138
7	2.042907473
8	1.970969224
9	1.902746678
10	1.842521862
11	1.78727908
12	1.733450555
13	1.68990108
14	1.640247982
15	1.605035605
16	1.561205649
17	1.52011965
18	1.486962202
19	1.452171123
20	1.426164243
21	1.398113648
22	1.369980123
23	1.340820281
24	1.314450877
25	1.289931888
26	1.267160676
27	1.242852279
28	1.221030831
29	1.202025058
30	1.183882465
31	1.165678508
32	1.147918402
33	1.131713299
34	1.115859278
35	1.097995399
36	1.079773681
37	1.067286939
38	1.049598747
39	1.037294597
40	1.025313456
41	1.01102917
42	0.9963569467
43	0.9818563942
44	0.9710949938
45	0.9580165759
46	0.9492251977
47	0.9401125921
48	0.9325839034
49	0.922306241
50	0.9131871218
51	0.904976719
52	0.8960943514
53	0.8882955158
54	0.8801862379
55	0.8728290238
56	0.8660133605
57	0.8548926303
58	0.8478692438
59	0.8408449373
60	0.8317991539
61	0.8264672704
62	0.8207036669
63	0.8139420643
64	0.8074550628
65	0.8005270299
66	0.7947534938
67	0.7895382519
68	0.7842047008
69	0.7765935476
70	0.7725095151
