iter	Passed	Remaining
0	105	105276
1	161	80739
2	217	72187
3	273	68200
4	319	63486
5	375	62137
6	431	61238
7	485	60239
8	543	59791
9	597	59162
10	654	58882
11	706	58197
12	764	58035
13	815	57437
14	871	57206
15	922	56734
16	980	56684
17	1037	56595
18	1088	56222
19	1136	55671
20	1180	55026
21	1233	54844
22	1286	54658
23	1343	54644
24	1394	54392
25	1449	54289
26	1494	53840
27	1546	53691
28	1594	53380
29	1651	53389
30	1703	53239
31	1750	52938
32	1808	52992
33	1853	52665
34	1909	52643
35	1966	52660
36	2023	52666
37	2073	52504
38	2132	52539
39	2177	52264
40	2232	52226
41	2283	52084
42	2328	51826
43	2382	51766
44	2434	51675
45	2482	51489
46	2539	51500
47	2595	51472
48	2652	51486
49	2703	51374
50	2760	51371
51	2819	51393
52	2869	51278
53	2917	51114
54	2976	51148
55	3035	51177
56	3081	50974
57	3139	50989
58	3187	50843
59	3243	50821
60	3300	50803
61	3348	50661
62	3394	50492
63	3439	50304
64	3485	50131
65	3533	50002
66	3579	49841
67	3635	49826
68	3686	49742
69	3747	49783
70	3796	49676
71	3843	49537
72	3896	49483
73	3949	49418
74	3998	49318
75	4043	49163
76	4092	49051
77	4141	48955
78	4191	48864
79	4247	48844
80	4297	48762
81	4352	48731
82	4401	48623
83	4450	48531
84	4502	48463
85	4550	48365
86	4606	48346
87	4655	48247
88	4713	48243
89	4762	48152
90	4818	48135
91	4863	48003
92	4919	47982
93	4977	47978
94	5025	47875
95	5069	47740
96	5124	47709
97	5173	47613
98	5227	47574
99	5282	47538
100	5326	47412
101	5379	47356
102	5436	47344
103	5484	47250
104	5538	47210
105	5593	47174
106	5643	47097
107	5686	46964
108	5745	46961
109	5795	46894
110	5843	46802
111	5887	46681
112	5938	46613
113	5987	46532
114	6036	46453
115	6085	46373
116	6130	46268
117	6176	46169
118	6227	46104
119	6273	46004
120	6322	45930
121	6372	45863
122	6417	45760
123	6471	45716
124	6524	45672
125	6571	45583
126	6618	45498
127	6663	45394
128	6715	45345
129	6760	45244
130	6813	45197
131	6868	45164
132	6922	45124
133	6965	45016
134	7019	44976
135	7065	44884
136	7113	44812
137	7159	44723
138	7210	44663
139	7267	44643
140	7312	44551
141	7357	44458
142	7401	44359
143	7449	44283
144	7492	44181
145	7538	44092
146	7581	43992
147	7633	43945
148	7683	43882
149	7726	43784
150	7771	43697
151	7815	43602
152	7860	43517
153	7906	43434
154	7957	43382
155	8016	43368
156	8061	43285
157	8104	43188
158	8155	43136
159	8200	43051
160	8245	42967
161	8289	42878
162	8333	42792
163	8378	42707
164	8422	42624
165	8479	42602
166	8531	42557
167	8579	42488
168	8623	42405
169	8674	42350
170	8720	42275
171	8770	42222
172	8816	42147
173	8864	42079
174	8910	42008
175	8961	41954
176	9009	41890
177	9054	41812
178	9102	41750
179	9147	41671
180	9194	41601
181	9245	41553
182	9299	41515
183	9342	41433
184	9387	41354
185	9435	41294
