No,year,month,day,hour,season,PM_Jingan,PM_US Post,PM_Xuhui,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,aaaa
51685,2015,11,24,12,3,26,31,24,10,72.04,1023,15,NE,127,0,0,bbbb
51686,2015,11,24,13,3,24,30,25,10,72.04,1023,15,NE,133,0,0,bbbb
51687,2015,11,24,14,3,27,31,22,10,76.84,1022,14,NE,139,0,0,bbbb
51688,2015,11,24,15,3,22,28,21,10,76.84,1022,14,NE,144,0,0,bbbb
51689,2015,11,24,16,3,27,31,22,10,76.84,1022,14,NE,149,0,0,bbbb
51690,2015,11,24,17,3,23,31,24,11,87.66,1022,13,NE,154,0,0,bbbb
51691,2015,11,24,18,3,31,28,25,10,82.01,1023,13,NE,158,0,0,bbbb
51692,2015,11,24,19,3,25,34,30,10,82.01,1023,13,NE,161,0,0,bbbb
51693,2015,11,24,20,3,26,23,24,10,87.57,1023,12,NE,166,0.1,0.1,bbbb
51694,2015,11,24,21,3,15,16,18,11,100,1023,11,NE,172,0.1,0.2,bbbb
51695,2015,11,24,22,3,10,8,11,10,93.55,1024,11,NE,178,1,1.2,bbbb
51696,2015,11,24,23,3,3,11,NA,10,100,1024,10,NE,184,1.7,2.9,bbbb
51697,2015,11,25,0,3,7,14,9,10,100,1024,10,NE,190,2.6,5.5,bbbb
51698,2015,11,25,1,3,12,9,8,8,87.38,1024,10,NW,8,1.7,7.2,bbbb
51699,2015,11,25,2,3,NA,6,4,8,93.45,1025,9,NE,6,0.3,7.5,bbbb
51700,2015,11,25,3,3,1,6,5,8,93.45,1024,9,NW,7,0.4,7.9,bbbb
51701,2015,11,25,4,3,NA,7,4,8,93.45,1024,9,NW,13,0.1,8,bbbb
51702,2015,11,25,5,3,5,18,10,7,87.28,1024,9,NW,19,0,0,bbbb
51703,2015,11,25,6,3,22,20,14,7,93.4,1025,8,NW,26,0,0,bbbb
51704,2015,11,25,7,3,22,23,13,6,87.19,1025,8,NW,33,0,0,bbbb
51705,2015,11,25,8,3,23,27,12,6,87.19,1026,8,NW,39,0,0,bbbb
51706,2015,11,25,9,3,29,37,18,6,87.19,1026,8,NW,46,0,0,bbbb
51707,2015,11,25,10,3,34,40,37,5,81.34,1026,8,NW,54,0,0,bbbb
51708,2015,11,25,11,3,36,39,40,4,75.84,1026,8,NW,61,0,0,bbbb
51709,2015,11,25,12,3,53,53,42,3,75.67,1025,7,NW,69,NA,NA,bbbb
51710,2015,11,25,13,3,51,42,35,3,75.67,1025,7,NW,77,0,0,bbbb
51711,2015,11,25,14,3,40,34,29,3,70.67,1024,8,NW,83,0,0,bbbb
51712,2015,11,25,15,3,28,29,31,3,75.67,1024,7,NW,90,0,0,bbbb
51713,2015,11,25,16,3,34,41,36,2,70.47,1024,7,NW,96,0,0,bbbb
51714,2015,11,25,17,3,44,48,44,2,70.47,1025,7,NW,103,0,0,bbbb
51715,2015,11,25,18,3,58,65,52,1,70.27,1026,6,NW,110,0,0,bbbb
51716,2015,11,25,19,3,67,76,64,1,70.27,1026,6,NW,117,0,0,bbbb
51717,2015,11,25,20,3,73,80,65,1,70.27,1026,6,NW,124,0,0,bbbb
51718,2015,11,25,21,3,76,73,73,0,65.36,1027,6,NW,132,0,0,bbbb
51719,2015,11,25,22,3,65,60,62,1,75.32,1027,5,NW,138,0,0,bbbb
51720,2015,11,25,23,3,58,65,60,-1,65.13,1027,5,NW,147,0,0,bbbb
51721,2015,11,26,0,3,60,63,NA,-1,65.13,1027,5,NW,156,0,0,bbbb
51722,2015,11,26,1,3,60,64,63,-1,65.13,1027,5,NW,164,0,0,bbbb
51723,2015,11,26,2,3,59,57,58,-1,69.85,1026,4,NW,173,0,0,bbbb
51724,2015,11,26,3,3,60,67,60,-2,64.9,1026,4,NW,183,0,0,bbbb
51725,2015,11,26,4,3,61,58,57,-3,64.66,1026,3,NW,193,0,0,bbbb
51726,2015,11,26,5,3,51,55,58,-4,64.42,1026,2,NW,201,0,0,bbbb
51727,2015,11,26,6,3,55,63,56,-4,64.42,1027,2,NW,209,0,0,bbbb
51728,2015,11,26,7,3,56,65,57,-5,64.18,1028,1,NW,217,0,0,bbbb
51729,2015,11,26,8,3,61,66,60,-4,64.42,1029,2,NW,224,0,0,bbbb
51730,2015,11,26,9,3,60,68,64,-5,55.63,1029,3,NW,232,0,0,bbbb
51731,2015,11,26,10,3,57,59,58,-5,55.63,1030,3,NW,241,0,0,bbbb
51732,2015,11,26,11,3,57,69,60,-4,55.91,1029,4,NW,249,0,0,bbbb
51733,2015,11,26,12,3,62,61,65,-5,51.84,1029,4,NW,258,0,0,bbbb
51734,2015,11,26,13,3,60,62,63,-5,48.34,1028,5,NW,266,0,0,bbbb
51735,2015,11,26,14,3,NA,61,57,-6,44.8,1028,5,NW,275,0,0,bbbb
51736,2015,11,26,15,3,62,51,47,-8,41.17,1028,4,NW,284,0,0,bbbb
51737,2015,11,26,16,3,42,47,45,-8,41.17,1028,4,NW,292,0,0,bbbb
51738,2015,11,26,17,3,38,48,45,-9,40.86,1029,3,NW,300,0,0,bbbb
51739,2015,11,26,18,3,37,41,45,-8,44.19,1029,3,NW,308,0,0,bbbb
51740,2015,11,26,19,3,37,47,49,-8,44.19,1030,3,NW,315,0,0,bbbb
51741,2015,11,26,20,3,41,49,48,-7,55.08,1031,1,NW,321,0,0,bbbb
51742,2015,11,26,21,3,41,47,48,-7,55.08,1031,1,NW,327,0,0,bbbb
51743,2015,11,26,22,3,42,54,49,-7,59.21,1031,0,NW,334,0,0,bbbb
51744,2015,11,26,23,3,46,50,53,-6,63.94,1032,0,NW,340,0,0,bbbb
51745,2015,11,27,0,3,47,54,52,-6,68.78,1031,-1,NW,346,0,0,bbbb
51746,2015,11,27,1,3,38,40,48,-7,63.69,1031,-1,NW,352,0,0,bbbb
51747,2015,11,27,2,3,34,34,33,-8,58.95,1031,-1,NW,357,0,0,bbbb
51748,2015,11,27,3,3,32,32,28,-8,58.95,1031,-1,NW,362,0,0,bbbb
51749,2015,11,27,4,3,27,36,34,-7,68.56,1031,-2,NW,366,0,0,bbbb
51750,2015,11,27,5,3,30,34,38,-7,63.69,1031,-1,NW,370,0,0,bbbb
51751,2015,11,27,6,3,34,41,40,-7,68.56,1031,-2,NW,373,0,0,bbbb
51752,2015,11,27,7,3,36,40,44,-7,68.56,1031,-2,NE,2,0,0,bbbb
51753,2015,11,27,8,3,38,40,48,-7,59.21,1032,0,NW,3,0,0,bbbb
51754,2015,11,27,9,3,45,47,47,-7,51.27,1032,2,NW,5,0,0,bbbb
51755,2015,11,27,10,3,49,49,50,-6,51.56,1032,3,NW,7,0,0,bbbb
51756,2015,11,27,11,3,52,43,52,-6,48.04,1031,4,SW,3,0,0,bbbb
51757,2015,11,27,12,3,42,43,42,-9,35.51,1030,5,NW,2,0,0,bbbb
51758,2015,11,27,13,3,39,33,37,-10,30.61,1029,6,SW,1,0,0,bbbb
51759,2015,11,27,14,3,33,38,31,-8,33.43,1029,7,cv,2,0,0,bbbb
51760,2015,11,27,15,3,33,44,30,-9,30.92,1028,7,cv,3,0,0,bbbb
51761,2015,11,27,16,3,34,39,36,-10,28.58,1028,7,SE,3,0,0,bbbb
51762,2015,11,27,17,3,38,42,37,-9,33.12,1029,6,SW,3,0,0,bbbb
51763,2015,11,27,18,3,42,47,48,-7,38.7,1029,6,NW,2,0,0,bbbb
51764,2015,11,27,19,3,45,52,52,-7,41.48,1029,5,SW,1,NA,NA,bbbb
51765,2015,11,27,20,3,59,52,62,-5,51.84,1029,4,NE,2,0,0,bbbb
51766,2015,11,27,21,3,71,62,61,-5,48.34,1030,5,cv,0,NA,NA,bbbb
51767,2015,11,27,22,3,73,69,69,-5,45.1,1030,6,cv,1,NA,NA,bbbb
51768,2015,11,27,23,3,69,78,71,-6,41.79,1029,6,SE,2,0,0,bbbb
51769,2015,11,28,0,3,69,69,72,-5,45.1,1029,6,SE,4,NA,NA,bbbb
51770,2015,11,28,1,3,55,50,68,-5,45.1,1029,6,SE,6,NA,NA,bbbb
51771,2015,11,28,2,3,48,45,62,-4,48.63,1029,6,SE,8,NA,NA,bbbb
51772,2015,11,28,3,3,43,45,51,-5,45.1,1029,6,SE,9,0,0,bbbb
51773,2015,11,28,4,3,43,48,45,-3,52.41,1028,6,cv,0,NA,NA,bbbb
51774,2015,11,28,5,3,43,49,46,-4,48.63,1028,6,cv,0,NA,NA,bbbb
51775,2015,11,28,6,3,46,53,50,-1,60.76,1028,6,NE,1,NA,NA,bbbb
51776,2015,11,28,7,3,51,48,55,-1,60.76,1028,6,cv,1,NA,NA,bbbb
51777,2015,11,28,8,3,56,59,62,0,56.99,1029,8,cv,2,0,0,bbbb
51778,2015,11,28,9,3,63,69,71,0,53.26,1029,9,SE,1,0,0,bbbb
51779,2015,11,28,10,3,66,62,75,0,49.8,1030,10,SW,2,0,0,bbbb
51780,2015,11,28,11,3,62,67,70,-1,37.96,1029,13,SW,4,0,0,bbbb
51781,2015,11,28,12,3,61,66,63,-1,33.35,1028,15,SW,7,0,0,bbbb
51782,2015,11,28,13,3,62,61,68,-2,33.05,1027,14,SW,9,0,0,bbbb
51783,2015,11,28,14,3,60,71,69,-2,33.05,1027,14,cv,1,NA,NA,bbbb
51784,2015,11,28,15,3,68,78,78,-2,30.98,1026,15,SW,2,0,0,bbbb
51785,2015,11,28,16,3,82,79,75,-2,30.98,1026,15,SW,4,NA,NA,bbbb
51786,2015,11,28,17,3,84,80,81,2,47.17,1027,13,SW,6,NA,NA,bbbb
51787,2015,11,28,18,3,84,76,80,3,54.08,1027,12,SE,2,0,0,bbbb
51788,2015,11,28,19,3,78,73,81,4,58.03,1028,12,SE,5,NA,NA,bbbb
51789,2015,11,28,20,3,81,77,71,6,71.27,1028,11,SE,7,0,0,bbbb
51790,2015,11,28,21,3,77,77,68,6,71.27,1028,11,SW,1,NA,NA,bbbb
51791,2015,11,28,22,3,72,75,72,6,71.27,1028,11,cv,0,NA,NA,bbbb
51792,2015,11,28,23,3,73,73,75,5,66.49,1028,11,cv,0,NA,NA,bbbb
51793,2015,11,29,0,3,74,66,77,8,87.38,1028,10,SE,1,NA,NA,bbbb
51794,2015,11,29,1,3,75,74,80,6,76.18,1027,10,NE,2,NA,NA,bbbb
51795,2015,11,29,2,3,79,73,83,8,93.45,1027,9,SW,2,NA,NA,bbbb
51796,2015,11,29,3,3,79,76,84,8,93.45,1027,9,SE,2,NA,NA,bbbb
51797,2015,11,29,4,3,81,82,83,8,93.45,1026,9,cv,0,NA,NA,bbbb
51798,2015,11,29,5,3,81,77,87,8,93.45,1026,9,SE,1,NA,NA,bbbb
